dataset,table,column,availability_class,availability_column,boundary,checkability,confidence,operational_action
rel-stack,badges,Id,row_time,Date,inclusive,direct,high,use
rel-stack,badges,UserId,row_time,Date,inclusive,direct,high,use
rel-stack,badges,Date,row_time,Date,inclusive,direct,high,use
rel-stack,badges,Class,row_time,Date,inclusive,direct,high,use
rel-stack,badges,Name,row_time,Date,inclusive,direct,high,use
rel-stack,badges,TagBased,row_time,Date,inclusive,direct,high,use
rel-stack,votes,Id,row_time,CreationDate,inclusive,direct,high,use
rel-stack,votes,UserId,row_time,CreationDate,inclusive,direct,high,use
rel-stack,votes,PostId,row_time,CreationDate,inclusive,direct,high,use
rel-stack,votes,CreationDate,row_time,CreationDate,inclusive,direct,high,use
rel-stack,votes,VoteTypeId,row_time,CreationDate,inclusive,direct,high,use
rel-stack,users,Id,row_time,CreationDate,inclusive,direct,high,use
rel-stack,users,CreationDate,row_time,CreationDate,inclusive,direct,high,use
rel-stack,users,AccountId,row_time,CreationDate,inclusive,proxy,medium,use_with_proxy_flag
rel-stack,users,DisplayName,unknown,,unknown,uncheckable,high,exclude
rel-stack,users,Location,unknown,,unknown,uncheckable,high,exclude
rel-stack,users,WebsiteUrl,unknown,,unknown,uncheckable,high,exclude
rel-stack,users,AboutMe,unknown,,unknown,uncheckable,high,exclude
rel-stack,comments,Id,row_time,CreationDate,inclusive,direct,high,use
rel-stack,comments,PostId,row_time,CreationDate,inclusive,direct,high,use
rel-stack,comments,UserId,row_time,CreationDate,inclusive,direct,high,use
rel-stack,comments,CreationDate,row_time,CreationDate,inclusive,direct,high,use
rel-stack,comments,ContentLicense,unknown,,unknown,uncheckable,high,exclude
rel-stack,comments,UserDisplayName,unknown,,unknown,uncheckable,high,exclude
rel-stack,comments,Text,unknown,,unknown,uncheckable,high,exclude
rel-stack,posts,Id,row_time,CreationDate,inclusive,direct,high,use
rel-stack,posts,OwnerUserId,unknown,,unknown,uncheckable,high,exclude
rel-stack,posts,ParentId,row_time,CreationDate,inclusive,proxy,medium,use_with_proxy_flag
rel-stack,posts,CreationDate,row_time,CreationDate,inclusive,direct,high,use
rel-stack,posts,PostTypeId,row_time,CreationDate,inclusive,proxy,medium,use_with_proxy_flag
rel-stack,posts,OwnerDisplayName,unknown,,unknown,uncheckable,high,exclude
rel-stack,posts,Title,unknown,,unknown,uncheckable,high,exclude
rel-stack,posts,Tags,unknown,,unknown,uncheckable,high,exclude
rel-stack,posts,ContentLicense,unknown,,unknown,uncheckable,high,exclude
rel-stack,posts,Body,unknown,,unknown,uncheckable,high,exclude
rel-stack,postLinks,Id,row_time,CreationDate,inclusive,direct,high,use
rel-stack,postLinks,RelatedPostId,row_time,CreationDate,inclusive,direct,high,use
rel-stack,postLinks,PostId,row_time,CreationDate,inclusive,direct,high,use
rel-stack,postLinks,CreationDate,row_time,CreationDate,inclusive,direct,high,use
rel-stack,postLinks,LinkTypeId,row_time,CreationDate,inclusive,direct,high,use
rel-stack,postHistory,Id,row_time,CreationDate,inclusive,direct,high,use
rel-stack,postHistory,PostId,row_time,CreationDate,inclusive,direct,high,use
rel-stack,postHistory,UserId,row_time,CreationDate,inclusive,direct,high,use
rel-stack,postHistory,CreationDate,row_time,CreationDate,inclusive,direct,high,use
rel-stack,postHistory,PostHistoryTypeId,row_time,CreationDate,inclusive,direct,high,use
