model,idx,mechanism,note,differing_columns_seed1
deepseek/deepseek-v4-flash-0731,6,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,review_count"
deepseek/deepseek-v4-flash-0731,2,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review,n_reviews"
deepseek/deepseek-v4-flash-0731,1,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","mean_review_score,cnt_reviews"
deepseek/deepseek-v4-flash-0731,5,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","reviews_count,avg_review_score,positive_review_ratio"
deepseek/deepseek-v4-flash-0731,10,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","review_count,avg_review_score"
deepseek/deepseek-v4-flash-0731,14,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score_mean,avg_review_score_std,num_reviews_sum,num_reviews_mean,num_low_reviews_sum"
deepseek/deepseek-v4-flash-0731,17,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","review_mean,review_count"
bytedance-seed/seed-2.0-code,7,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","total_reviews,avg_review_score,pct_negative_reviews"
bytedance-seed/seed-2.0-code,12,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","review_count,review_mean,review_min,review_max,review_std,review_five_star_ratio,review_one_star_ratio"
bytedance-seed/seed-2.0-code,13,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.",
