item_id,dataset,table,column,data_type,role,table_time_col,availability_class,availability_column,boundary,mutable,checkability,confidence,rationale
rel-stack:001,rel-stack,badges,Id,key,key,Date,,,,,,,
rel-stack:002,rel-stack,badges,UserId,key,key,Date,,,,,,,
rel-stack:003,rel-stack,badges,Date,datetime,time,Date,,,,,,,
rel-stack:004,rel-stack,badges,Class,int,value,Date,,,,,,,
rel-stack:005,rel-stack,badges,Name,str,value,Date,,,,,,,
rel-stack:006,rel-stack,badges,TagBased,bool,value,Date,,,,,,,
rel-stack:007,rel-stack,votes,Id,key,key,CreationDate,,,,,,,
rel-stack:008,rel-stack,votes,UserId,key,key,CreationDate,,,,,,,
rel-stack:009,rel-stack,votes,PostId,key,key,CreationDate,,,,,,,
rel-stack:010,rel-stack,votes,CreationDate,datetime,time,CreationDate,,,,,,,
rel-stack:011,rel-stack,votes,VoteTypeId,int,value,CreationDate,,,,,,,
rel-stack:012,rel-stack,users,Id,key,key,CreationDate,,,,,,,
rel-stack:013,rel-stack,users,CreationDate,datetime,time,CreationDate,,,,,,,
rel-stack:014,rel-stack,users,AccountId,float,value,CreationDate,,,,,,,
rel-stack:015,rel-stack,users,DisplayName,str,value,CreationDate,,,,,,,
rel-stack:016,rel-stack,users,Location,str,value,CreationDate,,,,,,,
rel-stack:017,rel-stack,users,WebsiteUrl,str,value,CreationDate,,,,,,,
rel-stack:018,rel-stack,users,AboutMe,str,value,CreationDate,,,,,,,
rel-stack:019,rel-stack,comments,Id,key,key,CreationDate,,,,,,,
rel-stack:020,rel-stack,comments,PostId,key,key,CreationDate,,,,,,,
rel-stack:021,rel-stack,comments,UserId,key,key,CreationDate,,,,,,,
rel-stack:022,rel-stack,comments,CreationDate,datetime,time,CreationDate,,,,,,,
rel-stack:023,rel-stack,comments,ContentLicense,str,value,CreationDate,,,,,,,
rel-stack:024,rel-stack,comments,UserDisplayName,str,value,CreationDate,,,,,,,
rel-stack:025,rel-stack,comments,Text,str,value,CreationDate,,,,,,,
rel-stack:026,rel-stack,posts,Id,key,key,CreationDate,,,,,,,
rel-stack:027,rel-stack,posts,OwnerUserId,key,key,CreationDate,,,,,,,
rel-stack:028,rel-stack,posts,ParentId,key,key,CreationDate,,,,,,,
rel-stack:029,rel-stack,posts,CreationDate,datetime,time,CreationDate,,,,,,,
rel-stack:030,rel-stack,posts,PostTypeId,int,value,CreationDate,,,,,,,
rel-stack:031,rel-stack,posts,OwnerDisplayName,str,value,CreationDate,,,,,,,
