item_id,dataset,table,column,data_type,role,table_time_col,availability_class,availability_column,boundary,mutable,checkability,confidence,rationale,operational_action
rel-stack:001,rel-stack,badges,Id,key,key,Date,row_time,Date,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:002,rel-stack,badges,UserId,key,key,Date,row_time,Date,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:003,rel-stack,badges,Date,datetime,time,Date,row_time,Date,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:004,rel-stack,badges,Class,int,value,Date,row_time,Date,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:005,rel-stack,badges,Name,str,value,Date,row_time,Date,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:006,rel-stack,badges,TagBased,bool,value,Date,row_time,Date,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:007,rel-stack,votes,Id,key,key,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:008,rel-stack,votes,UserId,key,key,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:009,rel-stack,votes,PostId,key,key,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:010,rel-stack,votes,CreationDate,datetime,time,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:011,rel-stack,votes,VoteTypeId,int,value,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:012,rel-stack,users,Id,key,key,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:013,rel-stack,users,CreationDate,datetime,time,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:014,rel-stack,users,AccountId,float,value,CreationDate,row_time,CreationDate,inclusive,unknown,proxy,medium,"Account linkage is treated as available at user creation, though later account merges are not timestamped.",use_with_proxy_flag
rel-stack:015,rel-stack,users,DisplayName,str,value,CreationDate,unknown,,unknown,yes,uncheckable,high,"The retained value is a current mutable snapshot, but its field-level edit time was not retained.",exclude
